Site,lat,long,Latitude,Longitude
40,31.23.020,81.16.131,31.383667,-81.26885
39,31.23.018,81.16.132,31.383633,-81.268867
38,31.23.015,81.16.134,31.383583,-81.2689
37,31.23.012,81.16.136,31.383533,-81.268933
36,31.23.006,81.16.142,31.383433,-81.269033
35,31.23.003,81.16.143,31.383383,-81.26905
34,31.23.001,81.16.146,31.38335,-81.2691
33,31.22.999,81.16.148,31.383317,-81.269133
32,31.22.993,81.16.154,31.383217,-81.269233
31,31.22.990,81.16.150,31.383167,-81.269167
30,31.22.988,81.16.158,31.381333,-81.2693
29,31.22.985,81.16.160,31.383083,-81.269333
28,31.22.978,81.16.166,31.382967,-81.269433
27,31.22.976,81.16.168,31.382933,-81.269467
26,31.22.974,81.16.171,31.3829,-81.269517
25,31.22.971,81.16.173,31.38285,-81.26955
24,31.22.964,81.16.179,31.382733,-81.26965
23,31.22.962,81.16.181,31.3827,-81.269683
22,31.22.959,81.16.184,31.38265,-81.269733
21,31.22.956,81.16.187,31.3826,-81.269783
20,31.22.950,81.16.193,31.3825,-81.269883
19,31.22.947,81.16.195,31.38245,-81.269917
18,31.22.945,81.16.198,31.382417,-81.269967
17,31.22.942,81.16.200,31.382367,-81.27
16,31.22.936,81.16.203,31.382267,-81.27005
15,31.22.934,81.16.208,31.382233,-81.270133
14,31.22.931,81.16.210,31.382183,-81.270167
13,31.22.928,81.16.213,31.382133,-81.270217
12,31.22.922,81.16.219,31.382033,-81.270317
11,31.22.919,81.16.222,31.381983,-81.270367
10,31.22.916,81.16.224,31.381933,-81.2704
9,31.22.914,81.16.227,31.3819,-81.27045
8,31.22.909,81.16.233,31.381817,-81.27055
7,31.22.906,81.16.236,31.381767,-81.2706
6,31.22.903,81.16.239,31.381717,-81.27065
5,31.22.901,81.16.242,31.381683,-81.2707
4,31.22.895,81.16.247,31.381583,-81.270783
3,31.22.892,81.16.251,31.381533,-81.27085
2,31.22.890,81.16.253,31.3815,-81.270883
1,31.22.888,81.16.250,31.381467,-81.270833
