Site,Latitude,Longitude
50,31.415333,-81.2533
49,31.415283,-81.2533
48,31.415233,-81.253333
47,31.415183,-81.25335
46,31.415133,-81.25335
45,31.415067,-81.253367
44,31.415033,-81.253383
43,31.414967,-81.2534
42,31.414917,-81.253417
41,31.41485,-81.2534
40,31.383667,-81.26885
39,31.383633,-81.268867
38,31.383583,-81.2689
37,31.383533,-81.268933
36,31.383433,-81.269033
35,31.383383,-81.26905
34,31.38335,-81.2691
33,31.383317,-81.269133
32,31.383217,-81.269233
31,31.383167,-81.269267
30,31.383133,-81.2693
29,31.383083,-81.269333
28,31.382967,-81.269433
27,31.382933,-81.269467
26,31.3829,-81.269517
25,31.38285,-81.26955
24,31.382733,-81.26965
23,31.3827,-81.269683
22,31.38265,-81.269733
21,31.3826,-81.269783
20,31.3825,-81.269883
19,31.38245,-81.269917
18,31.382417,-81.269967
17,31.382367,-81.27
16,31.382267,-81.2701
15,31.382233,-81.270133
14,31.382183,-81.270167
13,31.382133,-81.270217
12,31.382033,-81.270317
11,31.381983,-81.270367
10,31.381933,-81.2704
9,31.3819,-81.27045
8,31.381817,-81.27055
7,31.381767,-81.2706
6,31.381717,-81.27065
5,31.381683,-81.2707
4,31.381583,-81.270783
3,31.381533,-81.27085
2,31.381501,-81.270883
1,31.381467,-81.270915
