date,treatment,mean_burrow_count_total,mean_burrow_diameter_total,mean_air_temp
10/16/2022,Control,8.7,22.53842857,19.2712
10/16/2022,Compact,7.5,23.95301814,19.2712
10/16/2022,Rake,8.6,21.49634556,19.2712
10/16/2022,Marine Debris,6.7,20.93581389,19.2712
10/17/2022,Control,7.4,25.30235356,22.7656
10/17/2022,Compact,4.4,23.51675132,22.7656
10/17/2022,Rake,7,26.31568453,22.7656
10/17/2022,Marine Debris,7.7,21.01776865,22.7656
10/18/2022,Control,3.8,25.48435,19.5636
10/18/2022,Compact,3.4,26.87296296,19.5636
10/18/2022,Rake,3.2,31.908,19.5636
10/18/2022,Marine Debris,5.1,25.50422421,19.5636
10/19/2022,Control,1.5,20.74425926,11.9493
10/19/2022,Compact,1.3,24.42772222,11.9493
10/19/2022,Rake,1.2,19.40875,11.9493
10/19/2022,Marine Debris,2.6,24.35325926,11.9493
10/20/2022,Control,2.2,24.71277778,12.2442
10/20/2022,Compact,0.9,20.20428571,12.2442
10/20/2022,Rake,1.2,20.6792,12.2442
10/20/2022,Marine Debris,2.4,19.57194445,12.2442
10/21/2022,Control,2.9,19.54703333,13.1783
10/21/2022,Compact,1.5,20.42796296,13.1783
10/21/2022,Rake,1.7,24.79614583,13.1783
10/21/2022,Marine Debris,3.2,19.09679167,13.1783
